"scenario","region","subRegion","param","sources","class","x","xLabel","vintage","units","aggregate","classLabel","classPalette","origScen","origQuery","origUnits","origX","value"
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2065,"Year","Vint_2065","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2065,34.8352384521252
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2065,"Year","Vint_2065","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2065,2175.9693764776
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2070,"Year","Vint_2070","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2070,38.3187259979705
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2070,"Year","Vint_2070","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2070,2652.83394482342
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2075,"Year","Vint_2075","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2075,41.8023387140475
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2075,"Year","Vint_2075","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2075,3113.17512635461
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2080,"Year","Vint_2080","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2080,45.2858262598928
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2080,"Year","Vint_2080","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2080,3535.89399218372
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2085,"Year","Vint_2085","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2085,48.7693138057382
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2085,"Year","Vint_2085","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2085,3916.29840346331
